exp_name,args,train_loss,train_acc,valid_loss,valid_acc,test_acc,lr
2024-03-24 18:41:20,"{'exp_name': '2024-03-24 18:41:20', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 50, 'batch_size': 64, 'network': 'resnet18', 'lr': 0.001}","[0.39075960945792315, 0.2225802762479317, 0.16735230349912877, 0.1407489056085668, 0.11929530486827944, 0.10597341312322675, 0.09587083693321158, 0.08971748110361216, 0.07860358756762452, 0.07487617796514093, 0.06732760412936531, 0.06416618126648956, 0.0592293769984347, 0.05395498524260957, 0.048410759875323714, 0.04728879307101413, 0.04217552325529296, 0.04312902323265628, 0.04267951675758856, 0.0348060889192289, 0.037694832287365344, 0.03203617572420981, 0.03266216582823091, 0.03196172643362022, 0.029259027050035757, 0.027807908257605825, 0.02731098816730082, 0.026267372912204847, 0.025708530870516125, 0.024795257838488353, 0.022549404456030306, 0.021851277455869244, 0.020502575343792757, 0.019574843173869316, 0.019530696890930215, 0.017911612175450457, 0.017748008553143138, 0.01652729543062245, 0.017653828889994724, 0.016439151856480393, 0.014777461083878467, 0.013835523257645347, 0.013249421018039489, 0.014850279398648658, 0.014926150421293952, 0.012165382663469488, 0.013407155439802787, 0.012595042208686652, 0.01115364640689932, 0.011571357830245866]","[81.76763803680981, 93.86503067484662, 95.26457055214725, 95.89723926380368, 96.4340490797546, 96.875, 97.10506134969326, 97.18174846625767, 97.58435582822086, 97.71855828220859, 97.98696319018406, 98.1786809815951, 98.29371165644172, 98.61963190184049, 98.6771472392638, 98.58128834355828, 98.90720858895705, 98.6388036809816, 98.79217791411043, 99.0989263803681, 98.90720858895705, 99.25230061349694, 99.1180981595092, 99.06058282208589, 99.36733128834356, 99.25230061349694, 99.36733128834356, 99.34815950920245, 99.29064417177914, 99.38650306748467, 99.48236196319019, 99.5590490797546, 99.5398773006135, 99.61656441717791, 99.65490797546013, 99.69325153374233, 99.63573619631902, 99.73159509202453, 99.5782208588957, 99.67407975460122, 99.80828220858896, 99.80828220858896, 99.76993865030674, 99.73159509202453, 99.69325153374233, 99.88496932515338, 99.82745398773007, 99.80828220858896, 99.94248466257669, 99.86579754601227]","[0.7105432152748108, 0.7917918562889099, 0.8078075051307678, 0.7129527926445007, 0.7817255258560181, 0.7261353135108948, 0.6865823864936829, 0.617145299911499, 0.582338809967041, 0.5785520076751709, 0.45500922203063965, 0.5555203557014465, 0.4550364315509796, 0.4336153566837311, 0.44380977749824524, 0.3798866271972656, 0.3905806243419647, 0.3745017349720001, 0.3478694558143616, 0.35720738768577576, 0.3013136386871338, 0.27737024426460266, 0.3123829662799835, 0.2624970078468323, 0.29533931612968445, 0.21755793690681458, 0.2971111834049225, 0.2258976548910141, 0.2202652543783188, 0.2331889271736145, 0.24450328946113586, 0.2011910229921341, 0.2053186148405075, 0.24037039279937744, 0.22107702493667603, 0.16537730395793915, 0.214161679148674, 0.146653950214386, 0.16448268294334412, 0.16817094385623932, 0.16595786809921265, 0.16232731938362122, 0.133744478225708, 0.11692013591527939, 0.16988064348697662, 0.17132151126861572, 0.1533270925283432, 0.15122413635253906, 0.1319863647222519, 0.11556864529848099]","[62.5, 56.25, 62.5, 62.5, 62.5, 62.5, 62.5, 68.75, 68.75, 68.75, 81.25, 68.75, 75.0, 81.25, 75.0, 81.25, 81.25, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 93.75, 93.75, 87.5, 87.5, 87.5, 87.5, 93.75, 100.0]",78.84615384615384% (492/624),0.001
2024-03-24 18:53:34,"{'exp_name': '2024-03-24 18:53:34', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 50, 'batch_size': 64, 'network': 'resnet50', 'lr': 0.001}","[0.41557689919704344, 0.24677499092933608, 0.17839857163589176, 0.14228143933706167, 0.12114017315935798, 0.10449379573508007, 0.09021790502820073, 0.080219831908258, 0.07157108635164616, 0.06549093867765694, 0.058582816659132154, 0.05302987011467538, 0.04784590990577892, 0.04309210300490987, 0.03884096064309522, 0.03817868389461825, 0.034996173526273995, 0.0322320662870458, 0.03327152434532053, 0.02830136222083394, 0.02550525595320434, 0.022355880457680763, 0.02474918131284961, 0.0206437152469667, 0.020269775124289457, 0.01727151673957251, 0.016103843644420367, 0.015841435379825713, 0.013696266951539167, 0.016348607752971898, 0.011894859498503005, 0.013363213471432284, 0.010471991288884566, 0.010638488777458849, 0.01002441685101608, 0.009242193730797892, 0.00961341645296027, 0.007784861793014698, 0.009769383240093635, 0.011633335111560526, 0.00756694104596291, 0.008420347608058008, 0.008236215050934201, 0.007546985879676734, 0.006759524297128182, 0.0075518663364985, 0.006667124030816301, 0.0065882708281051455, 0.005174884109803271, 0.005932796463972275]","[80.31058282208589, 93.63496932515338, 95.26457055214725, 96.05061349693251, 96.51073619631902, 97.00920245398773, 97.12423312883436, 97.56518404907976, 97.7760736196319, 98.2170245398773, 98.1786809815951, 98.29371165644172, 98.56211656441718, 98.86886503067484, 98.98389570552148, 99.00306748466258, 99.1180981595092, 99.1372699386503, 98.94555214723927, 99.25230061349694, 99.42484662576688, 99.59739263803681, 99.38650306748467, 99.5782208588957, 99.61656441717791, 99.71242331288343, 99.76993865030674, 99.71242331288343, 99.78911042944786, 99.69325153374233, 99.88496932515338, 99.78911042944786, 99.84662576687117, 99.94248466257669, 99.94248466257669, 99.92331288343557, 99.90414110429448, 99.94248466257669, 99.90414110429448, 99.78911042944786, 99.96165644171779, 99.90414110429448, 99.92331288343557, 99.92331288343557, 99.9808282208589, 99.90414110429448, 99.94248466257669, 99.9808282208589, 100.0, 99.9808282208589]","[0.7468193173408508, 0.6931533217430115, 0.7165919542312622, 0.6467329859733582, 0.6253040432929993, 0.6354941129684448, 0.5704742074012756, 0.560704231262207, 0.5416120290756226, 0.5574561357498169, 0.4515663683414459, 0.43043065071105957, 0.45287102460861206, 0.4237896800041199, 0.4355268180370331, 0.25757038593292236, 0.3137243688106537, 0.3398180305957794, 0.28328433632850647, 0.26558586955070496, 0.2500765323638916, 0.262809157371521, 0.2440159022808075, 0.2720583975315094, 0.23947158455848694, 0.27438876032829285, 0.24674028158187866, 0.22728610038757324, 0.23419712483882904, 0.1844465434551239, 0.23617126047611237, 0.18839813768863678, 0.20199640095233917, 0.24798879027366638, 0.21542561054229736, 0.20279274880886078, 0.1242201179265976, 0.2177123874425888, 0.1648377627134323, 0.15579617023468018, 0.2169760912656784, 0.1295812577009201, 0.16333313286304474, 0.17901566624641418, 0.15423250198364258, 0.11617092043161392, 0.10902636498212814, 0.10608606785535812, 0.16056427359580994, 0.1408054530620575]","[50.0, 62.5, 62.5, 62.5, 62.5, 62.5, 68.75, 62.5, 62.5, 62.5, 75.0, 75.0, 75.0, 75.0, 68.75, 87.5, 81.25, 81.25, 81.25, 87.5, 87.5, 81.25, 81.25, 81.25, 87.5, 81.25, 81.25, 87.5, 81.25, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 100.0, 87.5, 87.5, 93.75, 87.5, 100.0, 87.5, 93.75, 100.0, 100.0, 100.0, 100.0, 87.5, 93.75]",79.48717948717949% (496/624),0.001
2024-03-26 23:28:45,"{'exp_name': '2024-03-26 23:28:45', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 10, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True}","[0.480739662560021, 0.3212641172292756, 0.2512798171217849, 0.21158362561609687, 0.18561452699870598, 0.16875123868628247, 0.1520020034981937, 0.14311767678435255, 0.13699383851958485, 0.12830899982917598]","[75.21088957055214, 88.3819018404908, 92.4271472392638, 93.80751533742331, 94.6127300613497, 95.26457055214725, 95.32208588957054, 95.28374233128835, 95.39877300613497, 95.76303680981594]","[0.8894602060317993, 0.6891278028488159, 0.6233620047569275, 0.5277301669120789, 0.5796783566474915, 0.6092786192893982, 0.585842490196228, 0.6768348813056946, 0.5496474504470825, 0.44940730929374695]","[50.0, 56.25, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 68.75]",79.8076923076923% (498/624),0.001
2024-03-26 23:33:08,"{'exp_name': '2024-03-26 23:33:08', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 10, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True}","[0.43861863816656715, 0.3069262417351327, 0.24121933266883944, 0.20411098621240475, 0.17968128912332582, 0.16389604457994786, 0.15103053810392938, 0.14272187232244304, 0.13424025766733216, 0.12705275943366492]","[78.75766871165644, 89.51303680981594, 93.36656441717791, 94.49769938650306, 94.91947852760735, 95.26457055214725, 95.32208588957054, 95.43711656441718, 95.80138036809815, 95.5713190184049]","[1.0849037170410156, 0.6952589154243469, 0.7359395027160645, 0.733289361000061, 0.6804323196411133, 0.6577211618423462, 0.6744486093521118, 0.8219185471534729, 0.6261269450187683, 0.6611587405204773]","[50.0, 56.25, 50.0, 56.25, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5]",81.25% (507/624),0.001
2024-03-26 23:39:29,"{'exp_name': '2024-03-26 23:39:29', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 512, 'device': 0, 'num_workers': 8, 'epochs': 10, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True}","[0.45665696190624705, 0.31202222515897055, 0.24227298541766842, 0.20161131787590864, 0.18039496497410099, 0.16315761154017797, 0.14818390713232318, 0.14211061978485526, 0.13282232331793484, 0.12691824792361842]","[78.04831288343557, 88.53527607361963, 92.31211656441718, 93.94171779141104, 94.1909509202454, 94.74693251533742, 95.0728527607362, 95.22622699386503, 95.5138036809816, 95.64800613496932]","[0.6623467803001404, 0.5730829238891602, 0.5739202499389648, 0.5528365969657898, 0.4702305793762207, 0.5706226229667664, 0.4919246435165405, 0.57671058177948, 0.6038721203804016, 0.624747097492218]","[56.25, 56.25, 56.25, 62.5, 62.5, 56.25, 62.5, 62.5, 62.5, 62.5]",79.6474358974359% (497/624),0.001
2024-03-26 23:45:26,"{'exp_name': '2024-03-26 23:45:26', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 10, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True, 'is_GaussianBlur': True}","[0.4802611448415896, 0.31096965292604956, 0.24602233127849857, 0.2096233498759386, 0.18360724718105503, 0.16446985177150586, 0.15582599799807478, 0.145524853431597, 0.13411040149810838, 0.12716459337531066]","[75.21088957055214, 88.17101226993866, 92.94478527607362, 93.71165644171779, 94.51687116564416, 95.0920245398773, 94.95782208588957, 95.39877300613497, 95.34125766871165, 95.82055214723927]","[1.102386713027954, 0.6505411863327026, 0.6238778233528137, 0.5894854068756104, 0.5787926912307739, 0.5935516357421875, 0.5699536800384521, 0.6327528953552246, 0.5652114152908325, 0.573133647441864]","[50.0, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 68.75]",85.09615384615384% (531/624),0.001
2024-03-26 23:54:24,"{'exp_name': '2024-03-26 23:54:24', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 30, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True, 'is_GaussianBlur': True}","[0.49276355926583454, 0.3127660678654182, 0.23941098735099886, 0.2015761798474847, 0.17683661928990993, 0.16128587104925296, 0.1488666187335805, 0.1413424503875942, 0.1317741721868515, 0.12564082661779916, 0.11925006494289492, 0.11755605932415986, 0.10939529501810306, 0.10709947829202908, 0.10107410217567188, 0.10326943909976541, 0.09874392827836478, 0.09190141155225474, 0.09288639766050548, 0.09092184038060468, 0.08806422816180601, 0.0878365027104936, 0.08693542176993882, 0.08447457077663119, 0.08166547446716123, 0.07841733207062977, 0.07789376505264421, 0.0755230262875557, 0.07433017334196626, 0.07231613421222059]","[74.84662576687117, 88.65030674846625, 92.3888036809816, 93.75, 94.32515337423312, 94.88113496932516, 94.74693251533742, 95.34125766871165, 95.45628834355828, 95.64800613496932, 95.82055214723927, 95.76303680981594, 96.24233128834356, 96.66411042944786, 96.58742331288343, 96.14647239263803, 96.49156441717791, 96.93251533742331, 96.56825153374233, 96.4532208588957, 96.75996932515338, 96.83665644171779, 96.99003067484662, 97.00920245398773, 97.04754601226993, 97.3159509202454, 97.22009202453987, 97.2967791411043, 97.43098159509202, 97.39263803680981]","[0.556293785572052, 0.4211028218269348, 0.3938799798488617, 0.3535631000995636, 0.35834866762161255, 0.33367225527763367, 0.33841192722320557, 0.3468248248100281, 0.35121622681617737, 0.34243255853652954, 0.2811185121536255, 0.3068189024925232, 0.3188660144805908, 0.29089823365211487, 0.2782909870147705, 0.2482258528470993, 0.24342800676822662, 0.23797465860843658, 0.2680152654647827, 0.2599561810493469, 0.2662810981273651, 0.25049927830696106, 0.20971620082855225, 0.21797560155391693, 0.24488377571105957, 0.20741744339466095, 0.22329959273338318, 0.26205503940582275, 0.2089504599571228, 0.2508161664009094]","[68.75, 87.5, 75.0, 81.25, 75.0, 87.5, 81.25, 75.0, 68.75, 68.75, 87.5, 81.25, 87.5, 81.25, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 87.5, 93.75, 93.75, 93.75, 87.5, 93.75, 93.75, 87.5, 93.75, 87.5]",83.17307692307693% (519/624),0.001
2024-03-27 00:39:20,"{'exp_name': '2024-03-27 00:39:20', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 30, 'batch_size': 128, 'network': 'resnet18', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True, 'is_GaussianBlur': True}","[0.46795740069412606, 0.3261417746543884, 0.2570742056137178, 0.21476612585346874, 0.1874147849838908, 0.17052085443240841, 0.1546542575446571, 0.1479635591187128, 0.13995599492294034, 0.13393703066721196, 0.1272679352905692, 0.11882238853268506, 0.11558056386505686, 0.11042722023841811, 0.10518660977846239, 0.10401399342752085, 0.09963237648693526, 0.09822690650457289, 0.09333898372403006, 0.0909113863074198, 0.09192038899878176, 0.0858022061789908, 0.08754507188753384, 0.08408397499744485, 0.07993910198168057, 0.07805260534330112, 0.07754988468638281, 0.07797818830827387, 0.07533941717772949, 0.07397691542055548]","[76.85966257668711, 87.63420245398773, 92.21625766871165, 93.36656441717791, 94.51687116564416, 94.84279141104295, 95.13036809815951, 95.20705521472392, 95.36042944785275, 95.41794478527608, 95.76303680981594, 96.14647239263803, 95.93558282208589, 96.05061349693251, 96.26150306748467, 96.18481595092024, 96.52990797546013, 96.4532208588957, 96.75996932515338, 96.75996932515338, 96.64493865030674, 96.8941717791411, 96.91334355828221, 97.16257668711657, 97.04754601226993, 97.18174846625767, 97.56518404907976, 97.04754601226993, 97.27760736196319, 97.39263803680981]","[0.9565689563751221, 0.6969941854476929, 0.6634392142295837, 0.6473765969276428, 0.6187412738800049, 0.6070177555084229, 0.6592896580696106, 0.6337476968765259, 0.6471536755561829, 0.6137057542800903, 0.5463632941246033, 0.6896862387657166, 0.5894628167152405, 0.6438379883766174, 0.5963134765625, 0.518757700920105, 0.5228670835494995, 0.553078830242157, 0.5010340809822083, 0.568010687828064, 0.45471835136413574, 0.503417432308197, 0.4615103006362915, 0.5199488401412964, 0.4330860674381256, 0.5418334007263184, 0.4462604224681854, 0.43292760848999023, 0.45179298520088196, 0.37997952103614807]","[50.0, 56.25, 56.25, 56.25, 56.25, 56.25, 56.25, 56.25, 56.25, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 62.5, 68.75, 62.5, 62.5, 62.5, 68.75, 68.75]",84.77564102564102% (529/624),0.001
2024-03-27 00:53:18,"{'exp_name': '2024-03-27 00:53:18', 'data_root_dir': 'chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 30, 'batch_size': 64, 'network': 'resnet50', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True, 'is_GaussianBlur': True}","[0.48275961090878744, 0.296559020695163, 0.2109831666074148, 0.16947174626516132, 0.14685197283581988, 0.12924294446299717, 0.12082907089554681, 0.11218318002434766, 0.10348699950590366, 0.09879038714599318, 0.08685705765354924, 0.08629991527555919, 0.0811291711813793, 0.08234221224741238, 0.07918822154311872, 0.07233684030702202, 0.06354171834976935, 0.06615730514749885, 0.06807906532705557, 0.060192616656422615, 0.06242217911725364, 0.05670281876696319, 0.0535335898762796, 0.06002402370341304, 0.05799149489030242, 0.050995821076467995, 0.05186396767953184, 0.052034511605686534, 0.04471701138266703, 0.05052289195222462]","[74.36733128834356, 89.7430981595092, 93.78834355828221, 94.57438650306749, 95.16871165644172, 95.87806748466258, 95.80138036809815, 96.06978527607362, 96.49156441717791, 96.54907975460122, 96.8941717791411, 96.58742331288343, 97.06671779141104, 97.18174846625767, 97.00920245398773, 97.25843558282209, 97.94861963190185, 97.50766871165644, 97.54601226993866, 97.92944785276073, 97.83358895705521, 98.00613496932516, 98.27453987730061, 97.68021472392638, 98.02530674846625, 98.25536809815951, 98.10199386503068, 98.27453987730061, 98.29371165644172, 98.27453987730061]","[0.6947274208068848, 0.5084137320518494, 0.4615980088710785, 0.444100558757782, 0.45126771926879883, 0.3776656985282898, 0.3595099151134491, 0.3084584176540375, 0.3247876763343811, 0.33131060004234314, 0.3277764916419983, 0.2872105836868286, 0.2327495813369751, 0.28803038597106934, 0.2510209083557129, 0.14713653922080994, 0.24999529123306274, 0.250874400138855, 0.195256769657135, 0.1910097450017929, 0.2021101713180542, 0.19687150418758392, 0.19490604102611542, 0.18924328684806824, 0.1867024153470993, 0.21257804334163666, 0.20078903436660767, 0.1240028440952301, 0.1548650860786438, 0.1470121443271637]","[50.0, 62.5, 68.75, 68.75, 68.75, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 87.5, 75.0, 87.5, 100.0, 87.5, 87.5, 93.75, 93.75, 87.5, 93.75, 93.75, 93.75, 93.75, 81.25, 87.5, 100.0, 100.0, 100.0]",85.8974358974359% (536/624),0.001
2024-03-27 14:43:03,"{'exp_name': '2024-03-27 14:43:03', 'data_root_dir': 'custom_chest_xray', 'inference_result_folder': 'InferenceResult', 'img_size': 256, 'device': 0, 'num_workers': 8, 'epochs': 30, 'batch_size': 64, 'network': 'resnet50', 'lr': 0.001, 'is_RandomRotation': True, 'is_RandomHorizontalFlip': True, 'is_GaussianBlur': True}","[0.5612252535773259, 0.37875741720199585, 0.27911471239492003, 0.22604752025183508, 0.1943528155485789, 0.1754444573147624, 0.15960404978078954, 0.14672793185009675, 0.133695587515831, 0.12599234998810524, 0.11897476353481704, 0.11681826405373275, 0.10647017092389219, 0.1064014452345231, 0.0980317007531138, 0.0998701738814513, 0.09342566673077789, 0.09176598934858453, 0.09389019056278117, 0.07816831888083149, 0.08317687702091302, 0.07878965347567025, 0.07123743147388392, 0.07653472258471976, 0.07457675554734819, 0.07130735447885943, 0.06872653431606059, 0.06274559896658449, 0.07032924662252851, 0.0654606891649903]","[76.21268656716418, 91.85323383084577, 92.91044776119402, 93.78109452736318, 94.1231343283582, 94.40298507462687, 94.93159203980099, 94.96268656716418, 95.67786069651741, 95.77114427860697, 95.98880597014924, 96.17537313432835, 96.54850746268657, 96.8905472636816, 96.64179104477611, 96.54850746268657, 97.04601990049751, 97.04601990049751, 96.73507462686567, 97.41915422885572, 97.35696517412936, 97.13930348258707, 97.8233830845771, 97.20149253731343, 97.45024875621891, 97.79228855721394, 97.32587064676616, 97.94776119402985, 97.57462686567165, 97.79228855721394]","[0.3263769233599305, 0.3687119800597429, 0.29321077512577176, 0.2636618562974036, 0.2590180872939527, 0.2291970644146204, 0.19629552052356303, 0.19318191846832633, 0.17191714188084006, 0.17692392854951322, 0.16122242156416178, 0.14114504971075803, 0.14357906649820507, 0.1370950024574995, 0.1229330220958218, 0.1316823485540226, 0.11081979318987578, 0.12566332786809653, 0.12182393157854676, 0.12938547472003847, 0.11357759381644428, 0.11093671648995951, 0.1220399021403864, 0.11232109210686758, 0.10701565456110984, 0.09755385492462665, 0.10061559436144307, 0.11452589160762727, 0.0933502022526227, 0.08851139183389023]","[98.36309523809523, 86.80555555555556, 88.88888888888889, 89.38492063492063, 89.48412698412699, 90.57539682539682, 91.41865079365078, 91.36904761904762, 92.70833333333334, 92.26190476190477, 93.25396825396825, 94.29563492063492, 93.99801587301587, 94.39484126984127, 95.03968253968253, 94.64285714285714, 95.73412698412699, 94.84126984126983, 95.43650793650794, 95.13888888888889, 95.78373015873017, 95.83333333333334, 95.3373015873016, 95.83333333333334, 96.13095238095238, 96.37896825396825, 96.27976190476191, 95.78373015873017, 96.57738095238095, 96.875]",88.30128205128204% (551/624),0.001
